district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
63024,Scotia Union Elementary,Humboldt,KK-08,370,19.79999924,6.504099846,36.31439972,56,4385.229492,12.17399979,0.540540576,664,652.7000122
61960,Pollock Pines Elementary,El Dorado,KK-08,1068,51.66999817,12.82769966,36.79779816,129,5486.382324,14.76000023,0.187265918,662.0999756,656.2000122
62745,Cutten Elementary,Humboldt,KK-06,515,27.35000038,16.11650085,26.21360016,58,5190.310059,14.20899963,0,660.2000122,666.7999878
61952,Placerville Union Elementary,El Dorado,KK-08,1354,66.56999969,12.0383997,36.48450089,263,5211.485352,15.16699982,2.437223196,666.4000244,661.2999878
62679,Arcata Elementary,Humboldt,KK-08,966,47.95999908,20.95809937,47.30540085,114,5318.240723,11.83399963,0.621118009,674,654.5999756
61929,Mother Lode Union Elementary,El Dorado,KK-08,1708,89,8.489500046,29.03980064,206,5133.009766,15.16699982,2.224824429,665.5,663.9000244
62596,Lake Elementary,Glenn,KK-08,129,5,9.302300453,50.38759995,10,4016.41626,10.63899994,6.201550484,667.5999756,662.2999878
62554,Capay Joint Union Elementary,Glenn,KK-08,144,8,4.166699886,44.44440079,14,4507.353027,10.63899994,9.722222328,671.9000244,660.4000244
62828,Freshwater Elementary,Humboldt,KK-06,245,12.55000019,8.979599953,13.06120014,30,6732.066406,15.57199955,0,672.2000122,662.7000122
62794,Fieldbrook Elementary,Humboldt,KK-08,129,6.599999905,13.95349979,27.1317997,17,5195.918945,11.83399963,0,670.0999756,669.5
61879,Gold Oak Union Elementary,El Dorado,KK-08,868,45,4.723499775,19.00919914,122,5118.130371,15.16699982,0,674.5999756,668
61838,Buckeye Union Elementary,El Dorado,KK-08,3787,186.1000061,3.247999907,8.34430027,934,5119.123047,19.11700058,0.264061272,674.9000244,668.2999878
61887,Gold Trail Union Elementary,El Dorado,KK-08,678,34.84000015,2.507400036,15.92920017,47,5450.103516,15.16699982,0.147492617,677.5999756,665.7000122
62885,Hydesville Elementary,Humboldt,KK-08,162,8.399999619,16.95910072,33.91809845,23,5210.724609,10.64299965,0,679.7999878,663.5999756
61978,Rescue Union Elementary,El Dorado,KK-08,2987,154.1699982,2.042200089,11.18179989,290,4825.202148,18.72599983,0.502176106,676.0999756,670.5
61911,Latrobe Elementary,El Dorado,KK-08,145,9.300000191,6.20690012,0,27,5346.15625,19.11700058,0,670.5,677.2999878
62976,Pacific Union Elementary,Humboldt,KK-08,594,33.18000031,12.26889992,25.37820053,75,5371.172852,11.83399963,1.68350172,683,668.4000244
62893,Jacoby Creek Elementary,Humboldt,KK-08,383,20.45000076,6.005199909,10.18280029,49,5351.522949,15.38099957,0,682.9000244,673.2000122
61812,Walnut Creek Elementary,Contra Costa,KK-08,3280,158.3999939,2.752300024,7.859300137,406,4819.903809,25.23971558,6.067073345,682.2000122,687.4000244
69781,Pacific Elementary,Santa Cruz,KK-06,81,4.849999905,13.25300026,20.48189926,21,7614.379395,30.84000015,12.34567928,693.7999878,681.2999878
69526,Los Gatos Union Elementary,Santa Clara,KK-08,2768,141.3999939,0.448100001,2.792099953,540,5566.467773,34.15950012,1.589595318,691.5999756,686.5999756
69252,Montecito Union Elementary,Santa Barbara,KK-06,535,31,0.079999998,0.720000029,84,7039.949219,43.22999954,1.495327115,693.5,688.5999756
68387,Solana Beach Elementary,San Diego,KK-06,2542,146.3000031,0.826099992,9.677399635,404,6604.063965,27.94775009,10.38552284,687.7000122,695
68965,Menlo Park City Elementary,San Mateo,KK-08,1940,111.8199997,0.412400007,3.917500019,265,6180.148926,49.93899918,6.134020329,693.7000122,690.0999756
65425,Reed Union Elementary,Marin,KK-08,1059,65.12000275,0.849900007,1.416399956,272,6460.657227,55.32799911,2.266288996,695.9000244,692
65391,Mill Valley Elementary,Marin,KK-08,2340,132.1999969,1.581200004,2.435899973,403,6415.35498,35.48099899,2.47863245,693.5999756,694.9000244
61713,Lafayette Elementary,Contra Costa,KK-08,3469,172.3399963,0,0.1734,496,5230.876953,34.30099869,0.893629253,697.9000244,691.7000122
68056,Del Mar Union Elementary,San Diego,KK-06,2106,115.3000031,1.709400058,2.611599922,300,5838.171875,38.62857056,2.421652317,695.0999756,695.2999878
69088,Woodside Elementary,San Mateo,KK-08,478,32.86999893,0,0,112,7711.506836,35.34199905,3.765690327,701.2999878,689.2999878
61747,Moraga Elementary,Contra Costa,KK-08,1885,98.41999817,0.0506,0.303299993,241,5592.765137,31.05200005,1.962864757,697.4000244,695.7000122
61770,Orinda Union Elementary,Contra Costa,KK-08,2422,139.4700012,0,0.123899996,466,5933.154297,40.26399994,0.578034639,699.0999756,697.2999878
68908,Hillsborough City Elementary,San Mateo,KK-08,1318,87.05999756,0.151700005,0,412,7593.405762,35.81000137,2.807283878,695.4000244,701.0999756
69161,Cold Spring Elementary,Santa Barbara,KK-06,220,12.32999992,0.45449999,0,22,6500.449707,43.22999954,1.363636374,693.2999878,703.5999756
68981,Portola Valley Elementary,San Mateo,KK-08,687,44.59000015,0.304899991,0,209,7217.263184,50.67699814,1.164483309,698.2999878,699.9000244
69682,Saratoga Union Elementary,Santa Clara,KK-08,2341,124.0899963,0.170900002,0.59799999,286,5392.638672,40.40200043,2.050405741,698.9000244,701.7000122
68957,Las Lomitas Elementary,San Mateo,KK-08,984,59.72999954,0.101599999,3.556900024,195,7290.338867,28.71699905,5.995934963,700.9000244,707.7000122
69518,Los Altos Elementary,Santa Clara,KK-08,3724,208.4799957,1.074100018,1.503800035,721,5741.462891,41.73410797,4.726100922,704,709.5
72611,Somis Union Elementary,Ventura,KK-08,441,20.14999962,3.563499928,37.19380188,45,4402.831543,23.7329998,24.26303864,648.2999878,641.7000122
72744,Plumas Elementary,Yuba,KK-08,101,5,11.88119984,59.40589905,14,4776.336426,9.951999664,2.970297098,667.9000244,676.5
72751,Wheatland Elementary,Yuba,KK-08,1778,93.40000153,6.923500061,47.57120132,313,5993.392578,12.50199986,5.005624294,660.5,651
